Date,AveragePrice,TotalVolume,type,year,region
2015-01-04,1.22,40873.28,conventional,2015,Albany
2015-01-04,1.79,1373.95,organic,2015,Albany
2015-01-11,1.24,41195.08,conventional,2015,Albany
2015-01-11,1.77,1182.56,organic,2015,Albany
2015-01-18,1.17,44511.28,conventional,2015,Albany
2015-01-18,1.93,1118.47,organic,2015,Albany
2015-01-25,1.06,45147.5,conventional,2015,Albany
2015-01-25,1.89,1115.89,organic,2015,Albany
2015-02-01,0.99,70873.6,conventional,2015,Albany
2015-02-01,1.83,1228.51,organic,2015,Albany
2015-02-08,0.99,51253.97,conventional,2015,Albany
2015-02-08,1.59,1770.87,organic,2015,Albany
2015-02-15,1.06,41567.62,conventional,2015,Albany
2015-02-15,1.81,1182.3,organic,2015,Albany
2015-02-22,1.07,45675.05,conventional,2015,Albany
2015-02-22,1.82,1152.33,organic,2015,Albany
2015-03-01,0.99,55595.74,conventional,2015,Albany
2015-03-01,1.76,1663.35,organic,2015,Albany
2015-03-08,1.07,40507.36,conventional,2015,Albany
2015-03-08,1.79,1626.32,organic,2015,Albany
2015-03-15,1.11,43045.79,conventional,2015,Albany
2015-03-15,1.79,1473.56,organic,2015,Albany
2015-03-22,1.12,46346.85,conventional,2015,Albany
2015-03-22,1.86,1375.02,organic,2015,Albany
2015-03-29,1.02,67799.08,conventional,2015,Albany
2015-03-29,1.93,1082.44,organic,2015,Albany
2015-04-05,1.16,47362.13,conventional,2015,Albany
2015-04-05,1.93,1526.1,organic,2015,Albany
2015-04-12,1.13,48364.29,conventional,2015,Albany
2015-04-12,1.76,1634.59,organic,2015,Albany
2015-04-19,1.19,49064.73,conventional,2015,Albany
2015-04-19,1.96,1516.24,organic,2015,Albany
2015-04-26,1.22,49585.46,conventional,2015,Albany
2015-04-26,1.9,929.61,organic,2015,Albany
2015-05-03,1.2,59197.67,conventional,2015,Albany
2015-05-03,2.03,1798.99,organic,2015,Albany
2015-05-10,1.26,120427.91,conventional,2015,Albany
2015-05-10,1.98,2117.48,organic,2015,Albany
2015-05-17,1.43,109857.47,conventional,2015,Albany
2015-05-17,1.87,1881.08,organic,2015,Albany
2015-05-24,1.19,101470.91,conventional,2015,Albany
2015-05-24,1.93,1628.65,organic,2015,Albany
2015-05-31,1.23,95123.62,conventional,2015,Albany
2015-05-31,1.9,1752.14,organic,2015,Albany
2015-06-07,1.07,122743.06,conventional,2015,Albany
2015-06-07,1.93,1547.03,organic,2015,Albany
2015-06-14,1.32,89631.3,conventional,2015,Albany
