Date,AveragePrice,TotalVolume,type,year,region
2015-01-04,1.09,3759282.62,conventional,2015,Northeast
2015-01-04,1.88,48280.46,organic,2015,Northeast
2015-01-11,1.28,3056024.77,conventional,2015,Northeast
2015-01-11,1.86,50079.81,organic,2015,Northeast
2015-01-18,1.32,3066789.62,conventional,2015,Northeast
2015-01-18,1.94,35304.15,organic,2015,Northeast
2015-01-25,1.27,3238501.89,conventional,2015,Northeast
2015-01-25,1.92,40358.44,organic,2015,Northeast
2015-02-01,1.23,4298883.17,conventional,2015,Northeast
2015-02-01,1.78,63537.1,organic,2015,Northeast
2015-02-08,1.09,4457049.41,conventional,2015,Northeast
2015-02-08,1.85,65898.99,organic,2015,Northeast
2015-02-15,1.29,2983695.9,conventional,2015,Northeast
2015-02-15,1.84,57627.38,organic,2015,Northeast
2015-02-22,1.29,3042447.03,conventional,2015,Northeast
2015-02-22,1.9,56898.92,organic,2015,Northeast
2015-03-01,1.15,3780455.44,conventional,2015,Northeast
2015-03-01,1.85,56799.83,organic,2015,Northeast
2015-03-08,1.27,3250832.53,conventional,2015,Northeast
2015-03-08,1.79,60655.7,organic,2015,Northeast
2015-03-15,1.34,3135991.73,conventional,2015,Northeast
2015-03-15,1.83,43012.32,organic,2015,Northeast
2015-03-22,1.22,3520408.65,conventional,2015,Northeast
2015-03-22,1.92,44128.54,organic,2015,Northeast
2015-03-29,1.26,3497026.98,conventional,2015,Northeast
2015-03-29,1.95,46496.41,organic,2015,Northeast
2015-04-05,1.34,3467770.71,conventional,2015,Northeast
2015-04-05,1.91,52969.72,organic,2015,Northeast
2015-04-12,1.33,3203213.09,conventional,2015,Northeast
2015-04-12,1.81,69377.2,organic,2015,Northeast
2015-04-19,1.31,3786141.18,conventional,2015,Northeast
2015-04-19,1.94,60348.96,organic,2015,Northeast
2015-04-26,1.36,3646363.66,conventional,2015,Northeast
2015-04-26,1.96,53200.63,organic,2015,Northeast
2015-05-03,1.24,4597313.41,conventional,2015,Northeast
2015-05-03,1.89,67904.99,organic,2015,Northeast
2015-05-10,1.21,5498650.28,conventional,2015,Northeast
2015-05-10,1.9,68804.21,organic,2015,Northeast
2015-05-17,1.33,4094677.85,conventional,2015,Northeast
2015-05-17,1.92,68435.46,organic,2015,Northeast
2015-05-24,1.26,4661457.29,conventional,2015,Northeast
2015-05-24,1.97,63674.1,organic,2015,Northeast
2015-05-31,1.34,4329239.82,conventional,2015,Northeast
2015-05-31,1.89,63807.3,organic,2015,Northeast
2015-06-07,1.27,4721927.3,conventional,2015,Northeast
2015-06-07,2.02,57645.02,organic,2015,Northeast
2015-06-14,1.2,4561749.66,conventional,2015,Northeast
2015-06-14,1.93,65593.37,organic,2015,Northeast
2015-06-21,1.27,4508474.0,conventional,2015,Northeast
2015-06-21,2.12,48785.22,organic,2015,Northeast
2015-06-28,1.3,4100932.47,conventional,2015,Northeast
2015-06-28,1.93,56485.02,organic,2015,Northeast
2015-07-05,1.24,4855273.71,conventional,2015,Northeast
2015-07-05,2.09,45881.11,organic,2015,Northeast
2015-07-12,1.2,4454138.91,conventional,2015,Northeast
2015-07-12,2.01,40245.19,organic,2015,Northeast
2015-07-19,1.27,4169213.2,conventional,2015,Northeast
2015-07-19,2.07,47878.48,organic,2015,Northeast
2015-07-26,1.28,3757524.71,conventional,2015,Northeast
2015-07-26,1.94,45208.21,organic,2015,Northeast
2015-08-02,1.19,4154658.67,conventional,2015,Northeast
2015-08-02,2.02,51879.97,organic,2015,Northeast
2015-08-09,1.1,4786334.13,conventional,2015,Northeast
2015-08-09,1.89,59179.16,organic,2015,Northeast
2015-08-16,1.17,4221435.38,conventional,2015,Northeast
2015-08-16,2.11,47299.93,organic,2015,Northeast
2015-08-23,1.13,4146220.81,conventional,2015,Northeast
2015-08-23,1.99,54255.52,organic,2015,Northeast
2015-08-30,1.2,3825966.51,conventional,2015,Northeast
2015-08-30,2.01,50307.57,organic,2015,Northeast
2015-09-06,1.18,4088061.71,conventional,2015,Northeast
2015-09-06,1.86,64445.98,organic,2015,Northeast
2015-09-13,1.14,4205294.58,conventional,2015,Northeast
2015-09-13,1.97,49376.19,organic,2015,Northeast
2015-09-20,1.21,3334592.0,conventional,2015,Northeast
2015-09-20,1.93,47669.22,organic,2015,Northeast
2015-09-27,1.13,3739072.7,conventional,2015,Northeast
2015-09-27,2.12,41882.91,organic,2015,Northeast
2015-10-04,1.21,3585183.3,conventional,2015,Northeast
2015-10-04,1.82,53701.26,organic,2015,Northeast
2015-10-11,1.23,3307828.65,conventional,2015,Northeast
2015-10-11,1.69,55097.44,organic,2015,Northeast
2015-10-18,0.99,4866607.14,conventional,2015,Northeast
2015-10-18,1.7,51045.02,organic,2015,Northeast
2015-10-25,1.15,3306614.18,conventional,2015,Northeast
2015-10-25,1.69,56802.46,organic,2015,Northeast
2015-11-01,1.09,4801621.08,conventional,2015,Northeast
2015-11-01,1.74,48955.21,organic,2015,Northeast
2015-11-08,1.1,4205775.44,conventional,2015,Northeast
2015-11-08,1.63,54182.7,organic,2015,Northeast
2015-11-15,1.09,3538946.22,conventional,2015,Northeast
2015-11-15,1.58,52680.94,organic,2015,Northeast
2015-11-22,1.16,3026217.24,conventional,2015,Northeast
2015-11-22,1.63,55389.85,organic,2015,Northeast
2015-11-29,1.22,2593780.51,conventional,2015,Northeast
2015-11-29,1.59,48901.36,organic,2015,Northeast
2015-12-06,1.14,3218494.55,conventional,2015,Northeast
2015-12-06,1.53,67245.25,organic,2015,Northeast
2015-12-13,1.09,3696551.52,conventional,2015,Northeast
2015-12-13,1.8,76466.85,organic,2015,Northeast
2015-12-20,1.2,3190120.04,conventional,2015,Northeast
2015-12-20,1.77,73826.41,organic,2015,Northeast
2015-12-27,1.2,3156360.2,conventional,2015,Northeast
2015-12-27,1.7,75884.69,organic,2015,Northeast
2016-01-03,1.07,4524219.73,conventional,2016,Northeast
2016-01-03,1.54,79900.43,organic,2016,Northeast
2016-01-10,1.2,3890225.41,conventional,2016,Northeast
2016-01-10,1.52,99539.08,organic,2016,Northeast
2016-01-17,1.09,4891516.5,conventional,2016,Northeast
2016-01-17,1.67,76290.32,organic,2016,Northeast
2016-01-24,1.21,4412280.93,conventional,2016,Northeast
2016-01-24,1.82,89368.59,organic,2016,Northeast
2016-01-31,1.06,4650798.49,conventional,2016,Northeast
2016-01-31,1.73,87698.15,organic,2016,Northeast
2016-02-07,1.03,5919226.12,conventional,2016,Northeast
2016-02-07,1.9,96595.25,organic,2016,Northeast
2016-02-14,1.08,4959257.88,conventional,2016,Northeast
2016-02-14,1.95,83662.7,organic,2016,Northeast
2016-02-21,1.21,3948234.94,conventional,2016,Northeast
2016-02-21,1.77,87442.77,organic,2016,Northeast
2016-02-28,1.15,4481119.44,conventional,2016,Northeast
2016-02-28,1.8,109507.5,organic,2016,Northeast
2016-03-06,1.21,4226925.7,conventional,2016,Northeast
2016-03-06,1.79,113859.82,organic,2016,Northeast
2016-03-13,1.13,4713935.35,conventional,2016,Northeast
2016-03-13,1.75,103718.78,organic,2016,Northeast
2016-03-20,1.11,4834759.09,conventional,2016,Northeast
2016-03-20,1.75,104018.17,organic,2016,Northeast
2016-03-27,1.23,4239016.69,conventional,2016,Northeast
2016-03-27,1.85,114767.54,organic,2016,Northeast
2016-04-03,1.18,3872680.79,conventional,2016,Northeast
2016-04-03,1.88,124627.43,organic,2016,Northeast
2016-04-10,1.09,3756625.12,conventional,2016,Northeast
2016-04-10,1.88,114275.61,organic,2016,Northeast
2016-04-17,1.12,3849051.4,conventional,2016,Northeast
2016-04-17,1.84,119446.75,organic,2016,Northeast
2016-04-24,1.13,4815249.22,conventional,2016,Northeast
2016-04-24,1.9,151219.06,organic,2016,Northeast
2016-05-01,1.12,5247266.74,conventional,2016,Northeast
2016-05-01,1.94,151476.61,organic,2016,Northeast
2016-05-08,0.87,6899727.12,conventional,2016,Northeast
2016-05-08,1.78,123022.55,organic,2016,Northeast
2016-05-15,1.13,4999100.74,conventional,2016,Northeast
