Date,AveragePrice,TotalVolume,type,year,region
2015-01-04,1.93,17328.24,organic,2015,NewYork
2015-01-04,1.09,1402890.2,conventional,2015,NewYork
2015-01-11,1.34,1018225.83,conventional,2015,NewYork
2015-01-11,2.03,14817.97,organic,2015,NewYork
2015-01-18,1.37,1044280.56,conventional,2015,NewYork
2015-01-18,2.08,9204.78,organic,2015,NewYork
2015-01-25,2.02,14337.32,organic,2015,NewYork
2015-01-25,1.36,1102868.27,conventional,2015,NewYork
2015-02-01,1.36,1433763.11,conventional,2015,NewYork
2015-02-01,1.93,24697.84,organic,2015,NewYork
2015-02-08,1.95,22571.11,organic,2015,NewYork
2015-02-08,1.11,1658708.73,conventional,2015,NewYork
2015-02-15,1.36,997562.44,conventional,2015,NewYork
2015-02-15,1.91,25037.76,organic,2015,NewYork
2015-02-22,1.33,1088977.45,conventional,2015,NewYork
2015-02-22,2.21,16620.69,organic,2015,NewYork
2015-03-01,1.18,1338129.89,conventional,2015,NewYork
2015-03-01,2.0,20787.25,organic,2015,NewYork
2015-03-08,1.36,1129333.95,conventional,2015,NewYork
2015-03-08,1.9,19904.38,organic,2015,NewYork
2015-03-15,1.45,1097737.98,conventional,2015,NewYork
2015-03-15,1.81,16570.75,organic,2015,NewYork
2015-03-22,1.33,1192732.41,conventional,2015,NewYork
2015-03-22,2.02,15438.68,organic,2015,NewYork
2015-03-29,2.08,16567.2,organic,2015,NewYork
2015-03-29,1.36,1183815.23,conventional,2015,NewYork
2015-04-05,1.41,1244324.47,conventional,2015,NewYork
2015-04-05,2.14,14907.54,organic,2015,NewYork
2015-04-12,1.43,1084407.8,conventional,2015,NewYork
2015-04-12,1.86,25674.65,organic,2015,NewYork
2015-04-19,1.42,1332514.63,conventional,2015,NewYork
2015-04-19,2.04,24265.78,organic,2015,NewYork
2015-04-26,1.44,1295589.61,conventional,2015,NewYork
2015-04-26,2.21,16170.46,organic,2015,NewYork
2015-05-03,1.32,1679103.39,conventional,2015,NewYork
2015-05-03,2.14,18576.24,organic,2015,NewYork
2015-05-10,1.22,2118593.92,conventional,2015,NewYork
2015-05-10,1.93,23195.0,organic,2015,NewYork
2015-05-17,1.43,1255552.68,conventional,2015,NewYork
2015-05-17,2.06,21815.46,organic,2015,NewYork
2015-05-24,1.37,1515022.63,conventional,2015,NewYork
2015-05-24,2.17,18746.25,organic,2015,NewYork
2015-05-31,1.93,17646.52,organic,2015,NewYork
2015-05-31,1.43,1493218.75,conventional,2015,NewYork
2015-06-07,1.32,1731061.12,conventional,2015,NewYork
2015-06-07,2.31,15733.56,organic,2015,NewYork
2015-06-14,1.32,1363133.97,conventional,2015,NewYork
2015-06-14,2.0,22931.78,organic,2015,NewYork
2015-06-21,1.28,1667026.11,conventional,2015,NewYork
2015-06-21,2.34,15733.14,organic,2015,NewYork
2015-06-28,1.36,1284789.44,conventional,2015,NewYork
2015-06-28,1.93,16746.9,organic,2015,NewYork
2015-07-05,1.18,1666825.63,conventional,2015,NewYork
2015-07-05,2.24,9519.72,organic,2015,NewYork
2015-07-12,1.27,1338282.24,conventional,2015,NewYork
2015-07-12,2.02,10799.02,organic,2015,NewYork
2015-07-19,1.37,1251919.24,conventional,2015,NewYork
2015-07-19,2.2,13745.4,organic,2015,NewYork
2015-07-26,1.28,1211731.19,conventional,2015,NewYork
2015-07-26,1.91,12784.61,organic,2015,NewYork
2015-08-02,1.14,1458722.6,conventional,2015,NewYork
2015-08-02,2.12,13852.18,organic,2015,NewYork
2015-08-09,1.98,17137.24,organic,2015,NewYork
2015-08-09,1.1,1563915.04,conventional,2015,NewYork
2015-08-16,2.3,16293.09,organic,2015,NewYork
2015-08-16,1.14,1535981.4,conventional,2015,NewYork
2015-08-23,1.1,1477964.12,conventional,2015,NewYork
2015-08-23,2.28,15343.33,organic,2015,NewYork
2015-08-30,1.22,1251081.11,conventional,2015,NewYork
2015-08-30,2.24,16541.9,organic,2015,NewYork
2015-09-06,1.22,1340925.56,conventional,2015,NewYork
2015-09-06,2.01,19296.46,organic,2015,NewYork
2015-09-13,1.16,1479334.84,conventional,2015,NewYork
2015-09-13,2.18,14667.53,organic,2015,NewYork
2015-09-20,1.18,1192210.54,conventional,2015,NewYork
2015-09-20,2.01,17916.34,organic,2015,NewYork
2015-09-27,1.16,1201066.41,conventional,2015,NewYork
2015-09-27,2.22,17054.18,organic,2015,NewYork
2015-10-04,2.25,15454.59,organic,2015,NewYork
2015-10-04,1.26,1342963.26,conventional,2015,NewYork
2015-10-11,1.28,1099283.22,conventional,2015,NewYork
2015-10-11,2.09,12517.38,organic,2015,NewYork
2015-10-18,0.97,1856337.85,conventional,2015,NewYork
2015-10-18,2.07,12935.87,organic,2015,NewYork
2015-10-25,1.23,1048045.86,conventional,2015,NewYork
2015-10-25,1.94,15727.43,organic,2015,NewYork
2015-11-01,2.09,12422.6,organic,2015,NewYork
2015-11-01,1.06,2180520.22,conventional,2015,NewYork
2015-11-08,1.13,1406262.16,conventional,2015,NewYork
2015-11-08,1.82,13935.65,organic,2015,NewYork
2015-11-15,1.04,1357393.34,conventional,2015,NewYork
2015-11-15,1.76,13622.89,organic,2015,NewYork
2015-11-22,1.14,1111803.12,conventional,2015,NewYork
2015-11-22,1.84,13438.23,organic,2015,NewYork
2015-11-29,1.16,999169.64,conventional,2015,NewYork
2015-11-29,1.89,9962.63,organic,2015,NewYork
2015-12-06,1.2,1068971.54,conventional,2015,NewYork
2015-12-06,1.65,18494.23,organic,2015,NewYork
2015-12-13,1.12,1254805.29,conventional,2015,NewYork
2015-12-13,1.9,23927.09,organic,2015,NewYork
2015-12-20,1.93,24549.47,organic,2015,NewYork
2015-12-20,1.23,1139347.98,conventional,2015,NewYork
2015-12-27,1.17,1129876.05,conventional,2015,NewYork
2015-12-27,1.9,21565.58,organic,2015,NewYork
2016-01-03,1.07,1454164.32,conventional,2016,NewYork
2016-01-03,1.61,21072.22,organic,2016,NewYork
2016-01-10,1.15,1364272.64,conventional,2016,NewYork
2016-01-10,1.54,34629.36,organic,2016,NewYork
2016-01-17,1.01,1840344.27,conventional,2016,NewYork
2016-01-17,1.93,20475.96,organic,2016,NewYork
2016-01-24,1.3,1429242.83,conventional,2016,NewYork
2016-01-24,2.09,28121.46,organic,2016,NewYork
2016-01-31,1.02,1615465.33,conventional,2016,NewYork
2016-01-31,1.83,24749.38,organic,2016,NewYork
2016-02-07,0.95,2202127.86,conventional,2016,NewYork
2016-02-07,1.95,30482.41,organic,2016,NewYork
2016-02-14,1.09,1806980.64,conventional,2016,NewYork
2016-02-14,2.11,28290.46,organic,2016,NewYork
2016-02-21,1.9,26230.35,organic,2016,NewYork
2016-02-21,1.21,1315177.5,conventional,2016,NewYork
2016-02-28,1.96,32608.62,organic,2016,NewYork
2016-02-28,1.15,1594427.98,conventional,2016,NewYork
2016-03-06,1.86,41547.14,organic,2016,NewYork
2016-03-06,1.24,1455656.4,conventional,2016,NewYork
2016-03-13,1.17,1600417.32,conventional,2016,NewYork
2016-03-13,1.96,33409.96,organic,2016,NewYork
2016-03-20,1.09,1743194.56,conventional,2016,NewYork
2016-03-20,1.92,31916.68,organic,2016,NewYork
2016-03-27,1.32,1395562.08,conventional,2016,NewYork
2016-03-27,2.12,35908.78,organic,2016,NewYork
2016-04-03,1.31,1240608.2,conventional,2016,NewYork
2016-04-03,2.08,47308.85,organic,2016,NewYork
2016-04-10,1.09,987897.9,conventional,2016,NewYork
2016-04-10,2.2,30461.39,organic,2016,NewYork
2016-04-17,1.08,1030786.84,conventional,2016,NewYork
2016-04-17,1.98,40280.96,organic,2016,NewYork
2016-04-24,1.12,1718055.86,conventional,2016,NewYork
2016-04-24,2.11,50334.94,organic,2016,NewYork
2016-05-01,2.16,54477.59,organic,2016,NewYork
2016-05-01,1.22,1536109.56,conventional,2016,NewYork
2016-05-08,2.0,39638.67,organic,2016,NewYork
2016-05-08,0.77,2740587.86,conventional,2016,NewYork
2016-05-15,1.14,1706730.17,conventional,2016,NewYork
2016-05-15,2.02,34788.28,organic,2016,NewYork
2016-05-22,1.14,1586647.62,conventional,2016,NewYork
2016-05-22,2.01,44794.06,organic,2016,NewYork
2016-05-29,1.08,1827100.26,conventional,2016,NewYork
2016-05-29,2.15,34505.47,organic,2016,NewYork
2016-06-05,1.47,1447580.25,conventional,2016,NewYork
2016-06-05,2.15,31807.14,organic,2016,NewYork
2016-06-12,1.44,1485642.35,conventional,2016,NewYork
2016-06-12,1.94,28758.83,organic,2016,NewYork
2016-06-19,1.5,1372612.33,conventional,2016,NewYork
2016-06-19,2.26,37403.19,organic,2016,NewYork
2016-06-26,1.2,1622151.78,conventional,2016,NewYork
2016-06-26,2.23,38645.77,organic,2016,NewYork
2016-07-03,1.53,1280725.34,conventional,2016,NewYork
2016-07-03,2.28,46314.26,organic,2016,NewYork
2016-07-10,1.51,1266199.75,conventional,2016,NewYork
2016-07-10,2.33,50300.29,organic,2016,NewYork
2016-07-17,2.4,55607.08,organic,2016,NewYork
2016-07-17,1.64,1076259.08,conventional,2016,NewYork
2016-07-24,1.68,1180373.67,conventional,2016,NewYork
2016-07-24,2.32,29300.63,organic,2016,NewYork
2016-07-31,1.7,1122162.86,conventional,2016,NewYork
2016-07-31,2.41,24047.65,organic,2016,NewYork
2016-08-07,1.54,1256917.91,conventional,2016,NewYork
2016-08-07,2.37,27155.2,organic,2016,NewYork
2016-08-14,1.49,1275952.93,conventional,2016,NewYork
2016-08-14,2.27,25308.77,organic,2016,NewYork
2016-08-21,1.47,1334937.86,conventional,2016,NewYork
2016-08-21,2.16,30583.43,organic,2016,NewYork
2016-08-28,1.58,1212399.97,conventional,2016,NewYork
2016-08-28,2.32,19375.8,organic,2016,NewYork
2016-09-04,1.47,1278749.25,conventional,2016,NewYork
2016-09-04,2.15,45204.38,organic,2016,NewYork
2016-09-11,1.26,1558413.54,conventional,2016,NewYork
2016-09-11,2.06,70119.57,organic,2016,NewYork
2016-09-18,1.5,1108446.44,conventional,2016,NewYork
2016-09-18,2.36,45701.82,organic,2016,NewYork
2016-09-25,1.62,1061132.87,conventional,2016,NewYork
2016-09-25,2.34,31716.46,organic,2016,NewYork
2016-10-02,2.41,35543.08,organic,2016,NewYork
2016-10-02,1.72,1057930.65,conventional,2016,NewYork
2016-10-09,2.3,26463.29,organic,2016,NewYork
2016-10-09,1.76,1031060.45,conventional,2016,NewYork
2016-10-16,1.89,969846.54,conventional,2016,NewYork
2016-10-16,2.33,17837.78,organic,2016,NewYork
2016-10-23,1.95,807564.93,conventional,2016,NewYork
2016-10-23,2.1,8442.79,organic,2016,NewYork
2016-10-30,1.99,618279.77,conventional,2016,NewYork
2016-10-30,2.25,25450.53,organic,2016,NewYork
2016-11-06,1.93,767190.62,conventional,2016,NewYork
2016-11-06,2.46,25247.34,organic,2016,NewYork
2016-11-13,1.9,830018.48,conventional,2016,NewYork
2016-11-13,2.65,28406.0,organic,2016,NewYork
2016-11-20,1.59,1093097.04,conventional,2016,NewYork
2016-11-20,2.04,48364.4,organic,2016,NewYork
2016-11-27,2.38,29117.76,organic,2016,NewYork
2016-11-27,1.56,970753.07,conventional,2016,NewYork
2016-12-04,1.52,960475.67,conventional,2016,NewYork
2016-12-04,2.04,45383.62,organic,2016,NewYork
2016-12-11,2.22,32658.97,organic,2016,NewYork
2016-12-11,1.32,1163696.14,conventional,2016,NewYork
2016-12-18,1.26,1241381.71,conventional,2016,NewYork
2016-12-18,1.99,51329.63,organic,2016,NewYork
2016-12-25,1.36,1087984.9,conventional,2016,NewYork
2016-12-25,2.17,37438.54,organic,2016,NewYork
2017-01-01,1.44,940983.17,conventional,2017,NewYork
2017-01-01,2.06,39260.55,organic,2017,NewYork
2017-01-08,1.29,1532074.69,conventional,2017,NewYork
2017-01-08,2.15,42755.8,organic,2017,NewYork
2017-01-15,1.38,1384264.04,conventional,2017,NewYork
2017-01-15,2.09,42233.25,organic,2017,NewYork
2017-01-22,1.48,1721917.04,conventional,2017,NewYork
2017-01-22,2.05,49056.11,organic,2017,NewYork
2017-01-29,1.52,1270564.47,conventional,2017,NewYork
2017-01-29,2.08,46602.16,organic,2017,NewYork
2017-02-05,2.03,58560.14,organic,2017,NewYork
2017-02-05,1.24,2544483.08,conventional,2017,NewYork
2017-02-12,1.98,59839.16,organic,2017,NewYork
2017-02-12,1.19,1955395.44,conventional,2017,NewYork
2017-02-19,1.28,1052132.16,conventional,2017,NewYork
2017-02-19,1.36,420410.54,organic,2017,NewYork
2017-02-26,1.55,1241381.61,conventional,2017,NewYork
2017-02-26,1.77,91212.34,organic,2017,NewYork
2017-03-05,1.39,1465568.77,conventional,2017,NewYork
2017-03-05,1.81,121542.09,organic,2017,NewYork
2017-03-12,1.76,1163703.37,conventional,2017,NewYork
2017-03-12,2.26,93328.69,organic,2017,NewYork
2017-03-19,1.7,1155875.16,conventional,2017,NewYork
2017-03-19,1.86,147248.57,organic,2017,NewYork
2017-03-26,1.72,1154893.52,conventional,2017,NewYork
2017-03-26,2.18,87897.32,organic,2017,NewYork
2017-04-02,1.74,1221327.78,conventional,2017,NewYork
2017-04-02,1.86,140039.98,organic,2017,NewYork
2017-04-09,2.22,69388.43,organic,2017,NewYork
2017-04-09,1.75,1277721.97,conventional,2017,NewYork
2017-04-16,1.76,1222890.71,conventional,2017,NewYork
2017-04-16,1.9,126408.2,organic,2017,NewYork
2017-04-23,2.23,73975.31,organic,2017,NewYork
2017-04-23,1.68,1247609.13,conventional,2017,NewYork
2017-04-30,1.84,1228100.25,conventional,2017,NewYork
2017-04-30,1.9,156250.72,organic,2017,NewYork
2017-05-07,2.34,88625.27,organic,2017,NewYork
