Date,AveragePrice,TotalVolume,type,year,region
2015-01-04,0.95,31324277.73,conventional,2015,TotalUS
2015-01-04,1.46,612910.15,organic,2015,TotalUS
2015-01-11,1.01,29063542.75,conventional,2015,TotalUS
2015-01-11,1.42,669528.88,organic,2015,TotalUS
2015-01-18,1.03,29043458.85,conventional,2015,TotalUS
2015-01-18,1.42,713120.0,organic,2015,TotalUS
2015-01-25,1.04,28470310.84,conventional,2015,TotalUS
2015-01-25,1.53,556368.86,organic,2015,TotalUS
2015-02-01,0.89,44655461.51,conventional,2015,TotalUS
2015-02-01,1.36,740896.97,organic,2015,TotalUS
2015-02-08,0.95,32137333.01,conventional,2015,TotalUS
2015-02-08,1.48,730874.31,organic,2015,TotalUS
2015-02-15,1.03,28012520.93,conventional,2015,TotalUS
2015-02-15,1.58,616177.0,organic,2015,TotalUS
2015-02-22,1.02,29936729.76,conventional,2015,TotalUS
2015-02-22,1.51,673446.69,organic,2015,TotalUS
2015-03-01,0.97,32994014.16,conventional,2015,TotalUS
2015-03-01,1.4,814484.79,organic,2015,TotalUS
2015-03-08,1.02,30094698.85,conventional,2015,TotalUS
2015-03-08,1.49,783913.05,organic,2015,TotalUS
2015-03-15,1.04,29572225.71,conventional,2015,TotalUS
2015-03-15,1.5,644584.67,organic,2015,TotalUS
2015-03-22,1.01,32513550.51,conventional,2015,TotalUS
2015-03-22,1.49,682640.03,organic,2015,TotalUS
2015-03-29,1.04,29982648.43,conventional,2015,TotalUS
2015-03-29,1.6,674551.02,organic,2015,TotalUS
2015-04-05,1.06,31500669.44,conventional,2015,TotalUS
2015-04-05,1.63,661842.02,organic,2015,TotalUS
2015-04-12,1.02,32046401.64,conventional,2015,TotalUS
2015-04-12,1.53,810018.27,organic,2015,TotalUS
2015-04-19,1.03,33091256.26,conventional,2015,TotalUS
2015-04-19,1.59,675907.97,organic,2015,TotalUS
2015-04-26,1.07,30894157.8,conventional,2015,TotalUS
2015-04-26,1.45,872239.07,organic,2015,TotalUS
2015-05-03,0.96,41291704.39,conventional,2015,TotalUS
2015-05-03,1.37,912681.57,organic,2015,TotalUS
2015-05-10,1.02,36400886.58,conventional,2015,TotalUS
2015-05-10,1.42,861671.11,organic,2015,TotalUS
2015-05-17,1.06,32027686.15,conventional,2015,TotalUS
2015-05-17,1.5,761972.65,organic,2015,TotalUS
2015-05-24,1.04,35344183.15,conventional,2015,TotalUS
2015-05-24,1.59,714266.31,organic,2015,TotalUS
2015-05-31,1.03,33720159.09,conventional,2015,TotalUS
2015-05-31,1.58,716942.71,organic,2015,TotalUS
2015-06-07,1.0,36549995.66,conventional,2015,TotalUS
2015-06-07,1.67,640448.59,organic,2015,TotalUS
2015-06-14,0.98,37026085.75,conventional,2015,TotalUS
2015-06-14,1.68,646098.42,organic,2015,TotalUS
